sku,old_title,new_title,shopify_id
"LP-2TONE-K6UF","Birdwatcher Records - 2 Tone - Limited Edition 12"" Vinyl.","Birdwatcher Records - 2 Tone LP",""
"CD-THECASBA-K8M6","Birdwatcher Records - The Casbah Of Love - Andrew Lamb Trio - Casbah Of Love CD","Birdwatcher Records - The Casbah Of Love CD",""
"CD-2TONE-K70P","Birdwatcher Records - 2 Tone - Limited Edition Compact Disc","Birdwatcher Records - 2 Tone CD",""
"CD-FINISHHI-K8TD","Birdwatcher Records - Finish Him - CD in Digipack","Birdwatcher Records - Finish Him CD",""
"CS-BASKETST-K7N7","Birdwatcher Records - Basket Star - Limited Edition Cassette","Birdwatcher Records - Basket Star Cassette",""
"CD-TAKETHEN-K9HE","Birdwatcher Records - Take The Neon Lights - Take The Neon Lights CD","Birdwatcher Records - Take The Neon Lights CD",""
"LP-THEEIGHT-K80J","Birdwatcher Records - The Eighth House - Limited Edition 12"" Vinyl","Birdwatcher Records - The Eighth House LP",""
"CD-HIGHTIDE-K9W8","Birdwatcher Records - High Tide - Compact Disc","Birdwatcher Records - High Tide CD",""
"CD-ASIFALWA-KAIC","Birdwatcher Records - as if always - Limited Edition Digipak CD","Birdwatcher Records - as if always CD",""
"LP-NS-120","SUSS - High Line Black LP","SUSS - High Line LP","9996746195259"
"SWJM-PTCO-C","LEAVING RECORDS - Plant Music Vol.3 - The Golden Teachers - PLANT MUSIC VINYL BUNDLE","Sam Wilkes & Jacob Mann - Perform the Compositions of Sam Wilkes & Jacob Mann CD",""
"ME-SS-V","LEAVING RECORDS - Plant Music Vol 1 - Shirley Shirley Shir - PLANT MUSIC VINYL BUNDLE","more eaze - Strawberry Season LP",""
"FDN-SC-FDNS","LEAVING RECORDS - Perform the Compositions of Sam Wilkes & - CASSETTE","Fabiano do Nascimento - Solstice Concert LP",""
"BP-WBTS","White Bicycle triptych set (limited bone vinyl)","Beauty Pill - White Bicycle triptych set (limited bone vinyl)","gid://shopify/Product/10310468141371"
"LS-MPP","Mosh Pit Power","Lord Spikeheart - Default Title","gid://shopify/Product/10310466830651"
"CD-NS-120","SUSS - High Line CD","SUSS - High Line LP","9947504148795"
